NUMBER,UNIT_NAME,STATE,NPS REGION,NPCA REGION,COMMON NAME,SPECIES,TAXA,STATUS
1,Abraham Lincoln Birthplace National Historical Park,KY,Southeast,Southeast,Gray bat,Myotis grisescens,Mammals,Endangered
2,Acadia National Park,ME,Northeast,Northeast,Northern Long-Eared Bat,Myotis septentrionalis,Mammals,Threatened
3,Acadia National Park,ME,Northeast,Northeast,Green sea turtle,Chelonia mydas,Reptiles,Endangered; Threatened
4,Acadia National Park,ME,Northeast,Northeast,Leatherback sea turtle,Dermochelys coriacea,Reptiles,Endangered
5,Acadia National Park,ME,Northeast,Northeast,Finback whale,Balaenoptera physalus,Mammals,Endangered
6,Agate Fossil Beds National Monument,NE,Midwest,Midwest,Whooping crane,Grus americana,Birds,Endangered; Experimental
7,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian monk seal,Monachus schauinslandi,Mammals,Endangered
8,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,`O`u (honeycreeper),Psittirostra psittacea,Birds,Endangered
9,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,akiapolaau,Hemignathus wilsoni,Birds,Endangered
10,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Band-rumped storm-petrel,Oceanodroma castro,Birds,Endangered
11,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaii akepa,Loxops coccineus,Birds,Endangered
12,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaii creeper,Oreomystis mana,Birds,Endangered
13,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian (='alala) Crow,Corvus hawaiiensis,Birds,Endangered
14,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian (=koloa) Duck,Anas wyvilliana,Birds,Endangered
15,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian goose,Branta (=Nesochen) sandvicensis,Birds,Endangered
16,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian petrel,Pterodroma sandwichensis,Birds,Endangered
17,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Hawaiian stilt,Himantopus mexicanus knudseni,Birds,Endangered
18,Ala Kahakai National Historic Trail,HI,Pacific West ,Pacific,Newell's Townsend's shearwater,Puffinus auricularis newelli,Birds,Threatened
19,Alibates Flint Quarries National Monument,TX,Intermountain,Texas,Arkansas River shiner,Notropis girardi,Fishes,Threatened
20,Alibates Flint Quarries National Monument,TX,Intermountain,Texas,Whooping crane,Grus americana,Birds,Endangered; Experimental
21,Amistad National Recreation Area,TX,Intermountain,Texas,Devils River minnow,Dionda diaboli,Fishes,Threatened
22,Amistad National Recreation Area,TX,Intermountain,Texas,Golden-cheeked warbler (=wood),Dendroica chrysoparia,Birds,Endangered
