Title
Great Smoky Mountains NP

Year,RecreationVisitors,TotalRecreationVisitors
1931,"154,000","583,512,162"
1932,"300,000","583,512,162"
1933,"375,000","583,512,162"
1934,"420,000","583,512,162"
1935,"500,000","583,512,162"
1936,"602,222","583,512,162"
1937,"727,243","583,512,162"
1938,"694,634","583,512,162"
1939,"761,567","583,512,162"
1940,"860,960","583,512,162"
1941,"1,310,101","583,512,162"
1942,"728,706","583,512,162"
1943,"383,116","583,512,162"
1944,"534,586","583,512,162"
1945,"750,690","583,512,162"
1946,"1,157,930","583,512,162"
1947,"1,204,017","583,512,162"
1948,"1,469,749","583,512,162"
1949,"1,539,641","583,512,162"
1950,"1,843,620","583,512,162"
1951,"1,945,100","583,512,162"
1952,"2,322,152","583,512,162"
1953,"2,250,772","583,512,162"
1954,"2,526,900","583,512,162"
1955,"2,581,500","583,512,162"
1956,"2,885,800","583,512,162"
1957,"2,943,700","583,512,162"
1958,"3,168,900","583,512,162"
1959,"3,162,300","583,512,162"
1960,"4,528,600","583,512,162"
1961,"4,762,100","583,512,162"
1962,"5,209,800","583,512,162"
1963,"5,258,700","583,512,162"
1964,"5,321,100","583,512,162"
1965,"5,954,900","583,512,162"
1966,"6,466,100","583,512,162"
1967,"6,710,100","583,512,162"
1968,"6,667,100","583,512,162"
1969,"6,331,100","583,512,162"
1970,"6,778,500","583,512,162"
1971,"7,173,000","583,512,162"
1972,"8,034,753","583,512,162"
1973,"7,586,300","583,512,162"
1974,"7,807,800","583,512,162"
1975,"8,541,500","583,512,162"
1976,"8,991,500","583,512,162"
1977,"9,173,600","583,512,162"
1978,"8,695,534","583,512,162"
1979,"8,019,788","583,512,162"
1980,"8,440,953","583,512,162"
1981,"8,312,884","583,512,162"
1982,"8,177,869","583,512,162"
1983,"8,435,475","583,512,162"
1984,"8,508,390","583,512,162"
1985,"9,319,290","583,512,162"
1986,"9,836,306","583,512,162"
1987,"10,209,841","583,512,162"
1988,"8,770,781","583,512,162"
1989,"8,333,553","583,512,162"
1990,"8,151,769","583,512,162"
1991,"8,654,459","583,512,162"
1992,"8,931,690","583,512,162"
1993,"9,283,848","583,512,162"
1994,"8,628,174","583,512,162"
1995,"9,080,420","583,512,162"
1996,"9,265,667","583,512,162"
1997,"9,965,075","583,512,162"
1998,"9,989,395","583,512,162"
1999,"10,283,598","583,512,162"
2000,"10,175,812","583,512,162"
2001,"9,197,697","583,512,162"
2002,"9,316,420","583,512,162"
2003,"9,366,845","583,512,162"
2004,"9,167,046","583,512,162"
2005,"9,192,477","583,512,162"
2006,"9,289,215","583,512,162"
2007,"9,372,253","583,512,162"
2008,"9,044,010","583,512,162"
2009,"9,491,437","583,512,162"
2010,"9,463,538","583,512,162"
2011,"9,008,830","583,512,162"
2012,"9,685,829","583,512,162"
2013,"9,354,695","583,512,162"
2014,"10,099,276","583,512,162"
2015,"10,712,674","583,512,162"
2016,"11,312,786","583,512,162"
2017,"11,338,893","583,512,162"
2018,"11,421,200","583,512,162"
2019,"12,547,743","583,512,162"
2020,"12,095,720","583,512,162"
2021,"14,161,548","583,512,162"

