Title1
Great Smoky Mountains NP

Field1,Field2,Field3,Field4,RecreationHours,NonRecreationHours,Field5,Field6,Field7,Field8,Field9,Field10,NonRecreationOvernightStays,TotalOvernightStays,Field11,Field12,Field13,Textbox21,Textbox29,Field14,Field15,Field16,Field17,Field18,Field19,Textbox5,Field20,Field21,Field22,Textbox24,Textbox32,Field23,Field24,Field25,Field26,Field27,Field28,Textbox7,Field29
1979,January,"130,261","173,860","823,420","43,465",0,453,591,0,"2,045",148,0,"3,237",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
1979,February,"160,764","173,278","977,074","43,320",0,574,477,0,"1,317",84,0,"2,452",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
1979,March,"309,163","229,560","2,038,053","57,390",0,"2,820","1,168",0,"8,989",86,0,"13,063",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
1979,April,"650,485","273,668","4,683,956","68,417","1,009","15,482","13,147",0,"12,525","2,861",0,"45,024",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
1979,May,"666,017","296,724","4,826,813","74,181",991,"18,318","14,455",0,"8,718","3,910",0,"46,392",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
1979,June,"994,065","305,792","7,526,913","76,448","1,136","33,779","33,036",0,"10,079","7,277",0,"85,307",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
1979,July,"1,324,322","361,076","9,648,392","90,269","1,159","39,778","44,998",0,"7,946","4,796",0,"98,677",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
1979,August,"1,274,155","337,716","9,752,533","84,429","1,084","47,729","48,364",0,"10,682","5,503",0,"113,362",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
1979,September,"779,102","320,052","5,810,004","80,013",959,"30,049","24,471",0,"6,627","1,697",0,"63,803",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
1979,October,"1,114,291","283,858","7,748,164","70,965","1,047","21,199","29,508",0,"7,965","1,923",0,"61,642",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
1979,November,"377,640","196,009","2,411,391","49,002",147,"2,488","4,763",0,"2,309",197,0,"9,904",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
1979,December,"239,523","215,558","1,492,603","53,890",0,896,517,0,"1,768",3,0,"3,184",1979 Totals,"8,019,788","3,167,151","57,739,316","791,789","7,532","213,565","215,495",0,"80,970","28,485",0,"546,047","413,415,169","411,269,805","3,056,304,667","195,101,125","437,793","7,505,693","6,307,518",0,"3,587,866","977,276",0,"18,816,144"
