Textbox28,Textbox25,Textbox26
"*Documented occurrences of the species in the park or in the adjoining region of the park give reason to suspect that it probably occurs within the park; however, current, verifiable evidence is needed.",NPSpecies - The National Park Service biodiversity database.  IRMA Portal version.https://irma.nps.gov/npspecies.  Accessed 11/22/2022 2:58:46 PM,"The species listed here are assumed to be 'present in park' and have been reviewed.  Evidence, in the form of a current, verifiable reference, voucher or observation, is included in the NPSpecies data system or is readily available.  Those species marked with an asterisk have the designation of 'probably present,' and efforts are underway to obtain current, verifiable evidence to elevate the status to 'present in park.'"

Category1,CategoryGroup,OccurrenceNotPresent,Textbox13,PreferredCommonNames,Textbox14,Textbox1
Mammals,Artiodactyla/Cervidae,,Cervus elaphus,elk,- ,Report Species Count: 90
Mammals,Artiodactyla/Cervidae,,Odocoileus virginianus,WHITE-TAILED DEER,- Odocoileus virginianus virginianus,Report Species Count: 90
Mammals,Artiodactyla/Suidae,,Sus scrofa,wild hog,- ,Report Species Count: 90
Mammals,Carnivora/Canidae,,Canis latrans,COYOTE,- ,Report Species Count: 90
Mammals,Carnivora/Canidae,,Urocyon cinereoargenteus,common gray fox,- Urocyon cinereoargenteus cinereoargenteus,Report Species Count: 90
Mammals,Carnivora/Canidae,,Vulpes vulpes,RED FOX,- ,Report Species Count: 90
Mammals,Carnivora/Felidae,*,Felis catus,Domestic Cat,- ,Report Species Count: 90
Mammals,Carnivora/Felidae,,Felis silvestris,"wild cat, Wildcat",- ,Report Species Count: 90
Mammals,Carnivora/Felidae,,Lynx rufus,BOBCAT,- ,Report Species Count: 90
Mammals,Carnivora/Felidae,*,Puma concolor,PANTHER (MOUNTAIN LION),- Felis concolor couguar,Report Species Count: 90
Mammals,Carnivora/Mephitidae,,Mephitis mephitis,STRIPED SKUNK,- ,Report Species Count: 90
Mammals,Carnivora/Mephitidae,,Spilogale putorius,EASTERN SPOTTED SKUNK,- ,Report Species Count: 90
Mammals,Carnivora/Mustelidae,,Lontra canadensis,RIVER OTTER,- Lontra canadensis lataxina,Report Species Count: 90
Mammals,Carnivora/Mustelidae,,Lutra canadensis,NORTHERN RIVER OTTER,- ,Report Species Count: 90
Mammals,Carnivora/Mustelidae,,Mustela,MINK (OR WEASEL),- ,Report Species Count: 90
Mammals,Carnivora/Mustelidae,,Mustela frenata,LONG-TAILED WEASEL,- ,Report Species Count: 90
Mammals,Carnivora/Mustelidae,,Mustela nivalis,least weasel,- ,Report Species Count: 90
Mammals,Carnivora/Mustelidae,,Neovison vison,mink,- Mustela vison,Report Species Count: 90
Mammals,Carnivora/Procyonidae,,Procyon lotor,common raccoon,- Procyon lotor lotor,Report Species Count: 90
Mammals,Carnivora/Ursidae,,Ursus americanus,BLACK BEAR,"- Ursus americanus americanus, Ursus americana",Report Species Count: 90
Mammals,Chiroptera/Vespertilionidae,,Corynorhinus rafinesquii,RAFINESQUE'S BIG-EARED BAT,- Plecotus rafinesquii,Report Species Count: 90
Mammals,Chiroptera/Vespertilionidae,,Eptesicus fuscus,BIG BROWN BAT,- ,Report Species Count: 90
Mammals,Chiroptera/Vespertilionidae,,Lasionycteris noctivagans,SILVER-HAIRED BAT,- ,Report Species Count: 90
Mammals,Chiroptera/Vespertilionidae,,Lasiurus borealis,eastern red bat,- ,Report Species Count: 90
Mammals,Chiroptera/Vespertilionidae,,Lasiurus cinereus,HOARY BAT,- ,Report Species Count: 90
Mammals,Chiroptera/Vespertilionidae,,Lasiurus seminolus,Seminole bat,- ,Report Species Count: 90
Mammals,Chiroptera/Vespertilionidae,,Myotis,Mouse-eared Bats,- ,Report Species Count: 90
Mammals,Chiroptera/Vespertilionidae,*,Myotis austroriparius,"MISSISSIPPI MYOTIS, SOUTHEASTERN MYOTIS",- ,Report Species Count: 90
Mammals,Chiroptera/Vespertilionidae,,Myotis grisescens,"GRAY MYOTIS, Gray bat",- ,Report Species Count: 90
Mammals,Chiroptera/Vespertilionidae,,Myotis leibii,eastern small-footed Myotis,- ,Report Species Count: 90
