Textbox28,Textbox25,Textbox26
"*Documented occurrences of the species in the park or in the adjoining region of the park give reason to suspect that it probably occurs within the park; however, current, verifiable evidence is needed.",NPSpecies - The National Park Service biodiversity database.  IRMA Portal version.https://irma.nps.gov/npspecies.  Accessed 11/22/2022 3:00:05 PM,"The species listed here are assumed to be 'present in park' and have been reviewed.  Evidence, in the form of a current, verifiable reference, voucher or observation, is included in the NPSpecies data system or is readily available.  Those species marked with an asterisk have the designation of 'probably present,' and efforts are underway to obtain current, verifiable evidence to elevate the status to 'present in park.'"

Category1,CategoryGroup,OccurrenceNotPresent,Textbox13,PreferredCommonNames,Textbox14,Textbox1
Mammals,Artiodactyla/Antilocapridae,,Antilocapra americana,"antelope, pronghorn",- ,Report Species Count: 68
Mammals,Artiodactyla/Bovidae,,Bison bison,"bison, buffalo",- ,Report Species Count: 68
Mammals,Artiodactyla/Bovidae,,Oreamnos americanus,"mountain goat, Mountain Goat, Rocky Mountain goat",- ,Report Species Count: 68
Mammals,Artiodactyla/Bovidae,,Ovis canadensis,"bighorn sheep, Bighorn Sheep",- ,Report Species Count: 68
Mammals,Artiodactyla/Cervidae,,Alces alces,"Eurasian Elk, moose",- ,Report Species Count: 68
Mammals,Artiodactyla/Cervidae,,Alces alces shirasi,Yellowstone moose,- ,Report Species Count: 68
Mammals,Artiodactyla/Cervidae,,Cervus elaphus,Rocky Mountain Elk,- ,Report Species Count: 68
Mammals,Artiodactyla/Cervidae,,Odocoileus hemionus,"mule deer, Mule Deer",- ,Report Species Count: 68
Mammals,Artiodactyla/Cervidae,,Odocoileus virginianus,"white-tailed deer, White-tailed Deer",- ,Report Species Count: 68
Mammals,Carnivora/Canidae,,Canis latrans,Coyote,- ,Report Species Count: 68
Mammals,Carnivora/Canidae,,Canis lupus,"Gray Wolf, Wolf",- ,Report Species Count: 68
Mammals,Carnivora/Canidae,,Vulpes vulpes,Red Fox,- ,Report Species Count: 68
Mammals,Carnivora/Felidae,,Lynx canadensis,"Canada lynx, Canadian Lynx, lynx",- ,Report Species Count: 68
Mammals,Carnivora/Felidae,,Lynx rufus,Bobcat,- Felis rufus,Report Species Count: 68
Mammals,Carnivora/Felidae,,Puma concolor,"Cougar, mountain lion, Puma",- ,Report Species Count: 68
Mammals,Carnivora/Mephitidae,,Mephitis mephitis,Striped Skunk,- ,Report Species Count: 68
Mammals,Carnivora/Mustelidae,,Gulo gulo,Wolverine,- Gulo luscus,Report Species Count: 68
