Title1
Yellowstone NP

Field1,Field2,Field3,Field4,RecreationHours,NonRecreationHours,Field5,Field6,Field7,Field8,Field9,Field10,NonRecreationOvernightStays,TotalOvernightStays,Field11,Field12,Field13,Textbox21,Textbox29,Field14,Field15,Field16,Field17,Field18,Field19,Textbox5,Field20,Field21,Field22,Textbox24,Textbox32,Field23,Field24,Field25,Field26,Field27,Field28,Textbox7,Field29
1979,January,"23,605",479,"188,840","3,832","2,994",15,39,0,457,0,0,"3,505",1979 Totals,"1,892,908","2,261","51,909,649","18,088","537,607","219,297","358,266","102,910","46,142","10,199",0,"1,274,421","131,603,055","30,067,659","3,203,412,316","19,425,231","24,461,263","5,783,994","7,026,066","14,963,039","1,742,163","491,405",0,"54,467,934"
1979,February,"31,992",36,"255,936",288,"4,218",246,252,0,"1,291",0,0,"6,007",1979 Totals,"1,892,908","2,261","51,909,649","18,088","537,607","219,297","358,266","102,910","46,142","10,199",0,"1,274,421","131,603,055","30,067,659","3,203,412,316","19,425,231","24,461,263","5,783,994","7,026,066","14,963,039","1,742,163","491,405",0,"54,467,934"
1979,March,"17,813",0,"142,504",0,"2,228",342,513,0,"1,313",0,0,"4,396",1979 Totals,"1,892,908","2,261","51,909,649","18,088","537,607","219,297","358,266","102,910","46,142","10,199",0,"1,274,421","131,603,055","30,067,659","3,203,412,316","19,425,231","24,461,263","5,783,994","7,026,066","14,963,039","1,742,163","491,405",0,"54,467,934"
1979,April,"34,095",426,"272,760","3,408",0,"1,008","1,527",0,465,0,0,"3,000",1979 Totals,"1,892,908","2,261","51,909,649","18,088","537,607","219,297","358,266","102,910","46,142","10,199",0,"1,274,421","131,603,055","30,067,659","3,203,412,316","19,425,231","24,461,263","5,783,994","7,026,066","14,963,039","1,742,163","491,405",0,"54,467,934"
1979,May,"108,952",473,"871,616","3,784","22,736","8,328","10,365","1,063",881,0,0,"43,373",1979 Totals,"1,892,908","2,261","51,909,649","18,088","537,607","219,297","358,266","102,910","46,142","10,199",0,"1,274,421","131,603,055","30,067,659","3,203,412,316","19,425,231","24,461,263","5,783,994","7,026,066","14,963,039","1,742,163","491,405",0,"54,467,934"
1979,June,"313,924",225,"9,888,606","1,800","103,462","37,407","64,563","21,499","6,972","2,608",0,"236,511",1979 Totals,"1,892,908","2,261","51,909,649","18,088","537,607","219,297","358,266","102,910","46,142","10,199",0,"1,274,421","131,603,055","30,067,659","3,203,412,316","19,425,231","24,461,263","5,783,994","7,026,066","14,963,039","1,742,163","491,405",0,"54,467,934"
1979,July,"493,902",191,"15,557,913","1,528","160,371","66,549","116,991","39,979","11,283","4,379",0,"399,552",1979 Totals,"1,892,908","2,261","51,909,649","18,088","537,607","219,297","358,266","102,910","46,142","10,199",0,"1,274,421","131,603,055","30,067,659","3,203,412,316","19,425,231","24,461,263","5,783,994","7,026,066","14,963,039","1,742,163","491,405",0,"54,467,934"
1979,August,"493,915",141,"15,558,323","1,128","165,121","69,045","105,654","36,004","15,310","3,000",0,"394,134",1979 Totals,"1,892,908","2,261","51,909,649","18,088","537,607","219,297","358,266","102,910","46,142","10,199",0,"1,274,421","131,603,055","30,067,659","3,203,412,316","19,425,231","24,461,263","5,783,994","7,026,066","14,963,039","1,742,163","491,405",0,"54,467,934"
1979,September,"262,786",153,"8,277,759","1,224","66,159","29,268","47,136","4,365","5,998",212,0,"153,138",1979 Totals,"1,892,908","2,261","51,909,649","18,088","537,607","219,297","358,266","102,910","46,142","10,199",0,"1,274,421","131,603,055","30,067,659","3,203,412,316","19,425,231","24,461,263","5,783,994","7,026,066","14,963,039","1,742,163","491,405",0,"54,467,934"
1979,October,"76,542",77,"612,336",616,"8,300","6,753","10,848",0,"1,624",0,0,"27,525",1979 Totals,"1,892,908","2,261","51,909,649","18,088","537,607","219,297","358,266","102,910","46,142","10,199",0,"1,274,421","131,603,055","30,067,659","3,203,412,316","19,425,231","24,461,263","5,783,994","7,026,066","14,963,039","1,742,163","491,405",0,"54,467,934"
