,Park Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Acadia National Park,"2,787,366","2,779,666","2,997,972","3,572,114","4,124,639","3,734,763","3,745,570","3,929,054","4,288,154","4,502,283","5,440,952","2,339,591","2,475,857","2,382,113","2,656,034","2,710,749","2,845,378","2,704,831","2,760,306","2,594,497","2,602,227","2,469,238","2,516,551",2558572,"2,431,062","2,207,847","2,051,484","2,083,588","2,202,228","2,075,857","2,227,698","2,504,208","2,374,645","2,431,052","2,254,922","2,563,129","2,811,184","3,303,393","3,509,271","3,537,575","3,437,286","2,669,034","4,069,098"
1,Arches National Park,"269,840","290,519","326,508","339,415","287,875","345,180","363,464","419,444","468,916","520,455","555,809","620,719","705,882","799,831","773,678","777,178","859,374","856,016","858,525","837,161","869,980","786,429","754,026",769672,"757,781","733,131","781,670","833,049","860,181","928,795","996,312","1,014,405","1,040,758","1,070,577","1,082,866","1,284,767","1,399,247","1,585,718","1,539,028","1,663,557","1,659,702","1,238,083","1,806,865"
2,Badlands National Park,"858,000","952,652","1,175,952","1,030,484","1,026,981","1,113,675","950,242","1,025,630","1,174,398","1,110,040","1,237,956","1,326,475","1,518,396","1,205,297","1,179,458","1,130,459","1,075,569","1,024,705","970,696","1,021,049","950,453","1,105,824","955,469",908898,"871,034","936,030","909,146","840,118","886,654","845,734","933,918","977,778","870,741","883,406","892,372","868,094","989,354","996,263","1,054,325","1,008,942","970,998","916,932","1,224,226"
3,Big Bend National Park,"282,941","174,008","167,332","180,144","164,926","167,665","188,045","200,622","227,921","239,595","281,728","257,378","296,470","294,535","327,907","330,417","295,460","279,454","305,882","338,442","327,649","262,320","328,927",327747,"312,384","357,723","398,583","298,717","364,856","362,512","363,905","372,330","361,862","292,055","316,953","314,102","381,747","388,290","440,276","440,091","463,832","393,907","581,220"
4,Biscayne National Park,"202,938","248,071","305,502","348,219","369,082","340,567","460,921","578,013","607,968","531,036","589,957","573,376","488,134","307,512","19,950","25,147","584,519","338,603","392,069","403,239","442,585","393,151","489,343",513397,"490,031","478,304","563,728","608,836","517,442","686,062","437,745","467,612","476,077","495,613","486,848","525,745","508,164","514,709","446,961","469,253","708,522","402,770","705,655"
5,Black Canyon of the Gunnison National Park,"234,286","336,119","266,604","227,428","291,618","253,048","266,012","289,117","285,439","269,073","288,586","275,323","316,336","337,209","319,322","214,194","221,113","200,125","209,863","193,451","200,142","191,506","181,018",173687,"167,247","175,581","180,814","160,450","219,576","160,185","171,451","176,344","168,336","192,570","175,852","183,045","209,166","238,018","307,143","308,962","432,818","341,620","308,910"
6,Bryce Canyon National Park,"558,095","571,541","474,092","471,517","472,633","495,104","500,782","578,018","718,342","791,348","808,045","862,659","929,067","1,018,174","1,107,951","1,028,134","994,548","1,269,600","1,174,824","1,166,331","1,081,521","1,099,275","1,068,619",886436,"903,760","987,253","1,017,681","890,676","1,012,563","1,043,321","1,216,377","1,285,492","1,296,000","1,385,352","1,311,875","1,435,741","1,745,804","2,365,110","2,571,684","2,679,478","2,594,904","1,464,655","2,104,600"
7,Canyonlands National Park,"74,545","56,505","89,915","97,079","100,022","102,533","116,672","172,987","172,384","212,100","257,411","276,831","339,315","395,698","434,844","429,921","448,769","447,527","432,697","436,524","446,160","401,558","368,592",367078,"386,986","371,706","393,381","392,537","417,560","436,715","436,241","435,908","473,773","452,952","462,242","542,431","634,607","776,218","742,271","739,449","733,996","493,914","911,594"
8,Capitol Reef National Park,"288,860","342,788","397,789","289,486","331,734","296,230","320,503","383,742","428,808","469,556","515,278","562,477","618,056","675,837","610,707","605,324","648,864","678,012","625,680","656,026","680,153","612,656","527,760",525646,"535,441","549,708","550,255","511,511","554,907","604,811","617,208","662,661","668,834","673,345","663,670","786,514","941,029","1,064,904","1,150,165","1,227,627","1,226,519","981,038","1,405,353"
9,Carlsbad Caverns National Park,"721,647","672,963","771,766","781,963","712,247","712,989","732,482","752,552","781,300","786,135","792,378","747,016","679,450","688,742","687,161","617,087","588,609","557,217","540,797","522,076","514,418","469,303","455,621",476259,"457,631","419,599","413,786","407,367","409,560","400,381","432,639","428,524","365,000","381,058","388,566","397,309","445,720","466,773","520,026","465,912","440,691","183,835","349,244"
10,Channel Islands National Park,"82,937","104,574","87,514","172,287","205,024","203,411","164,132","172,913","174,607","168,592","152,662","144,083","149,263","169,181","184,867","175,226","525,882","490,715","488,757","574,270","607,057","482,571","520,428",613935,"585,919","537,716","434,107","375,256","360,806","332,177","348,745","277,515","242,756","249,594","212,029","342,161","324,816","364,807","383,687","366,250","409,630","167,290","319,252"
11,Congaree National Park,,,,,,,"12,332","16,508","20,312","26,257","25,445","23,223","30,975","40,018","54,669","67,756","67,949","62,614","70,716","93,725","82,223","95,619","119,738",101620,"107,114","126,247","84,301","134,045","115,524","104,913","122,970","121,208","120,166","109,685","120,340","120,122","87,513","143,843","159,595","145,929","159,445","119,306","215,181"
12,Crater Lake National Park,"410,749","455,143","503,404","435,589","379,008","419,829","390,604","402,789","460,550","443,430","430,734","384,941","456,931","461,668","381,747","454,215","496,041","476,957","451,548","471,865","417,992","426,883","457,373",456620,"479,183","417,066","447,240","388,972","468,958","415,686","446,516","448,319","423,551","447,251","523,027","535,508","614,712","756,344","711,749","720,659","704,512","670,500","647,751"
13,Cuyahoga Valley National Park,"543,025","563,300","596,300","717,815","939,562","1,018,828","1,004,858","1,042,148","1,113,405","1,229,717","1,159,648","1,200,622","1,358,984","1,430,382","2,266,139","3,266,401","3,195,207","3,455,878","3,527,837","3,467,107","3,324,284","3,324,918","3,123,353",3217935,"2,879,591","3,306,175","2,533,827","2,468,816","2,486,656","2,828,233","2,589,288","2,492,670","2,161,185","2,299,722","2,103,010","2,189,849","2,284,612","2,423,390","2,226,879","2,096,053","2,237,997","2,755,628","2,575,275"
14,Death Valley National Park,"631,152","618,140","630,402","679,992","635,582","621,197","576,679","586,668","665,345","692,267","664,449","690,965","743,608","869,183","998,474","971,487","1,109,421","1,189,215","1,188,212","1,177,746","1,227,583","1,179,094","1,014,636",897596,"890,375","764,820","800,113","744,440","704,122","871,938","828,574","984,775","946,867","984,568","951,972","1,101,312","1,154,843","1,296,283","1,294,827","1,678,660","1,740,945","820,023","1,146,551"
15,Denali National Park & Preserve,"251,105","216,361","256,593","321,868","346,082","395,099","436,545","529,749","575,013","592,431","543,640","546,693","558,870","503,674","505,565","490,311","543,309","341,385","354,278","372,519","386,867","363,983","360,191",311335,"360,189","404,236","403,520","415,935","458,308","432,309","358,041","378,855","406,582","388,433","530,922","531,315","560,757","587,412","642,809","594,660","601,152","54,850","229,521"
16,Dry Tortugas National Park,"9,076","8,644","10,150","10,700","11,004","11,900","13,213","15,379","16,315","16,937","19,441","19,402","18,231","21,581","24,020","16,736","32,870","35,127","47,224","60,136","74,186","83,704","79,186",79582,"74,741","67,917","61,765","64,122","60,895","63,947","52,011","53,890","75,171","60,550","58,401","64,865","70,862","73,661","54,281","56,810","79,200","48,543","83,817"
17,Everglades National Park,"718,102","744,244","564,721","550,168","577,439","628,658","697,646","739,072","787,493","1,026,188","913,372","957,925","1,292,014","1,025,686","973,706","886,455","820,466","890,167","989,532","1,118,215","1,073,982","995,390","1,049,851",968909,"1,040,648","1,181,355","1,233,837","954,022","1,074,764","822,118","900,882","915,538","934,351","1,141,906","1,047,116","1,110,901","1,077,427","930,907","1,018,557","597,124","1,118,300","702,319","942,130"
18,Gates of the Arctic National Park & Preserve,,,,"1,381","2,138","2,440","1,381","2,801","1,060","1,258",822,"1,010","1,154","2,116","2,245","1,726","7,074","6,448","6,949","8,266","8,166","11,278","4,505",6648,"5,075","10,282","9,459","9,982","10,942","11,397","9,975","10,840","11,623","10,899","11,012","12,669","10,745","10,047","11,177","9,591","10,518","2,872","7,362"
19,Gateway Arch National Park,"1,859,431","1,928,825","2,282,261","2,967,323","2,948,022","1,709,993","2,140,316","2,311,147","2,364,694","2,477,458","2,518,712","2,382,612","2,622,425","2,415,514","2,539,740","2,553,696","3,234,977","3,649,308","3,420,076","3,420,352","3,481,042","3,458,956","3,532,524",3333454,"2,685,219","2,779,350","2,944,976","2,572,072","2,385,387","1,954,810","2,360,109","2,436,110","2,259,020","2,496,726","2,377,258","1,817,091","1,698,656","1,271,855","1,398,188","2,016,180","2,055,309","486,021","1,145,081"
20,Glacier Bay National Park & Preserve,"91,032","95,005","85,071","90,354","92,057","108,297","130,943","136,877","130,926","148,756","150,270","186,427","203,653","211,424","242,276","250,614","252,265","304,374","347,046","403,512","442,607","384,684","380,114",408143,"366,319","353,686","359,829","413,382","438,211","418,911","438,361","444,530","431,986","454,337","500,590","500,727","551,353","520,171","547,057","597,915","672,087","5,748","89,768"
21,Glacier National Park,"1,446,086","1,474,578","1,786,523","1,666,114","2,203,847","1,946,703","1,603,011","1,579,151","1,660,737","1,817,733","1,821,523","1,986,737","2,096,966","2,199,767","2,141,704","2,152,989","1,839,518","1,720,805","1,708,856","1,830,944","1,684,604","1,728,693","1,680,614",1905689,"1,664,046","2,033,933","1,925,101","1,964,399","2,083,329","1,808,027","2,031,348","2,200,048","1,853,564","2,162,035","2,190,374","2,338,528","2,366,056","2,946,681","3,305,512","2,965,309","3,049,839","1,698,864","3,081,656"
22,Grand Canyon National Park,"2,131,716","2,304,973","2,472,270","2,293,127","2,248,082","2,173,584","2,711,529","3,035,787","3,513,030","3,859,886","3,966,209","3,776,685","3,886,031","4,203,545","4,575,602","4,364,316","4,557,645","4,537,703","4,791,668","4,239,682","4,575,124","4,460,228","4,104,809",4001974,"4,124,900","4,326,234","4,401,522","4,279,439","4,413,668","4,425,314","4,348,068","4,388,386","4,298,178","4,421,352","4,564,840","4,756,771","5,520,736","5,969,811","6,254,238","6,380,495","5,974,411","2,897,098","4,532,677"
23,Grand Teton National Park,"2,446,171","2,555,627","2,643,644","2,534,029","1,532,035","1,360,898","1,334,483","1,306,322","1,450,791","1,232,691","1,331,659","1,588,253","1,625,752","1,744,636","2,568,689","2,540,699","2,731,015","2,733,439","2,658,762","2,757,060","2,680,025","2,590,624","2,535,108",2612629,"2,355,693","2,360,373","2,463,442","2,406,476","2,588,574","2,485,987","2,580,081","2,669,374","2,587,437","2,705,256","2,688,794","2,791,392","3,149,921","3,270,076","3,317,000","3,491,151","3,405,614","3,289,638","3,885,230"
24,Great Basin National Park,"29,947","33,383","33,367","32,264","30,335","37,676","36,343","40,359","63,532","73,559","70,259","65,026","63,864","69,144","91,915","88,024","87,829","86,635","90,760","80,363","90,119","81,045","81,712",85777,"87,020","79,879","77,741","78,524","81,364","69,235","84,974","88,870","91,451","94,850","92,893","107,526","116,123","144,846","168,028","153,094","131,802","120,248","144,875"
25,Great Sand Dunes National Park & Preserve,"162,546","142,427","172,505","175,273","150,177","141,833","182,713","221,449","225,937","274,286","266,321","272,136","295,070","290,654","294,282","312,225","323,663","309,283","309,855","279,768","286,745","260,789","277,523",234776,"251,375","267,204","279,589","258,660","285,121","273,903","289,955","283,284","280,058","254,674","242,841","271,774","299,513","388,308","486,935","442,905","527,546","461,532","602,613"
