Calendar Year,Park Name,Cause of Death,Injury Category,Sex,Age Range,Outcome
2007,Glen Canyon National Recreation Area,Undetermined,Undetermined,Male,65+,Fatal Injury
2007,Golden Gate National Recreation Area,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2007,Golden Gate National Recreation Area,Undetermined,Undetermined,Male,Undetermined,Fatal Injury
2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Female,45-54,Fatal Injury
2007,Natchez Trace Parkway,Motor Vehicle Crash,Unintentional,Female,15-24,Fatal Injury
2007,Gateway National Recreation Area,Undetermined,Undetermined,Male,Undetermined,Fatal Injury
2007,Black Canyon Of The Gunnison National Park,Fall,Unintentional,Female,15-24,Fatal Injury
2007,Big South Fork National River and Recreation Area,Drowning,Unintentional,Male,25-34,Fatal Injury
2007,Mount Rainier National Park,Environmental,Unintentional,Male,45-54,Fatal Injury
2007,Biscayne National Park,"Transportation
(e.g. bicycle, boat)",Unintentional,Male,25-34,Fatal Injury
2007,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Unintentional,Male,55-64,Fatal Injury
2007,Gateway National Recreation Area,Drowning,Unintentional,Male,35-44,Fatal Injury
2007,Colorado National Monument,Motor Vehicle Crash,Unintentional,Male,35-44,Fatal Injury
2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Unintentional,Female,0-14,Fatal Injury
2007,Mount Rainier National Park,Drowning,Unintentional,Female,45-54,Fatal Injury
2007,Mount Rainier National Park,Drowning,Unintentional,Male,35-44,Fatal Injury
2007,Mount Rainier National Park,Drowning,Unintentional,Male,35-44,Fatal Injury
2007,Mount Rainier National Park,Drowning,Unintentional,Female,35-44,Fatal Injury
2007,Glen Canyon National Recreation Area,Drowning,Unintentional,Female,35-44,Fatal Injury
2007,Glen Canyon National Recreation Area,Motor Vehicle Crash,Unintentional,Male,15-24,Fatal Injury
2007,Grand Canyon National Park,Drowning,Unintentional,Male,55-64,Fatal Injury
2007,Grand Canyon National Park,Fall,Unintentional,Male,Undetermined,Fatal Injury
2007,Olympic National Park,Drowning,Unintentional,Male,15-24,Fatal Injury
2007,Glen Canyon National Recreation Area,Motor Vehicle Crash,Unintentional,Male,35-44,Fatal Injury
2007,North Cascades National Park,Fall,Unintentional,Male,25-34,Fatal Injury
2007,Redwood National and State Parks,Drowning,Unintentional,Male,Undetermined,Fatal Injury
2007,Death Valley,Motor Vehicle Crash,Unintentional,Male,45-54,Fatal Injury
2007,Great Smoky Mountains National Park,Motor Vehicle Crash,Unintentional,Male,45-54,Fatal Injury
