"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,,,
,,,,
,Recreational Visits,,,
Park Name,1979,1980,1981,Average
Abraham Lincoln Birthplace NHP,"271,231","239,074","252,245","254,183"
Acadia NP,"2,787,366","2,779,666","2,997,972","2,855,001"
Adams NHP,"34,322","24,974","27,055","28,784"
Agate Fossil Beds NM,"8,115","8,330","9,459","8,635"
Alibates Flint Quarries NM,"1,922","2,211","2,384","2,172"
Allegheny Portage Railroad NHS,"58,225","73,995","65,557","65,926"
Amistad NRA,"1,261,846","1,084,689","976,414","1,107,650"
Andersonville NHS,"151,123","126,700","113,697","130,507"
Andrew Johnson NHS,"47,674","65,591","74,100","62,455"
Antietam NB,"319,610","352,780","468,078","380,156"
Apostle Islands NL,"75,629","88,467","103,960","89,352"
Appomattox Court House NHP,"208,411","218,724","244,968","224,034"
Arches NP,"269,840","290,519","326,508","295,622"
Arkansas Post NMEM,"61,507","63,002","53,538","59,349"
Arlington House The R.E. Lee MEM,"459,346","484,364","336,593","426,768"
Assateague Island NS,"1,674,861","1,967,525","2,019,316","1,887,234"
Aztec Ruins NM,"58,064","56,844","64,902","59,937"
Badlands NP,"858,000","952,652","1,175,952","995,535"
Bandelier NM,"161,336","176,410","197,574","178,440"
Bent's Old Fort NHS,"94,653","54,529","45,843","65,008"
Big Bend NP,"282,941","174,008","167,332","208,094"
Big Hole NB,"41,186","37,317","43,176","40,560"
Big Thicket NPRES,,,"22,763","22,763"
Bighorn Canyon NRA,"297,152","322,728","341,157","320,346"
Biscayne NP,"202,938","248,071","305,502","252,170"
Black Canyon of the Gunnison NP,"234,286","336,119","266,604","279,003"
Blue Ridge PKWY,"11,700,219","13,415,014","13,625,753","12,913,662"
Booker T. Washington NM,"25,507","21,575","19,874","22,319"
Boston NHP,"1,777,391","2,034,110","1,754,142","1,855,214"
Bryce Canyon NP,"558,095","571,541","474,092","534,576"
Buck Island Reef NM,"82,390","71,305","45,502","66,399"
Buffalo NR,"675,832","576,352","580,075","610,753"
Cabrillo NM,"1,196,447","1,253,098","1,332,313","1,260,619"
Canaveral NS,"859,943","885,620","1,066,706","937,423"
Canyon de Chelly NM,"328,097","284,015","333,596","315,236"
Canyonlands NP,"74,545","56,505","89,915","73,655"
Cape Cod NS,"3,921,968","4,788,342","4,978,838","4,563,049"
Cape Hatteras NS,"1,516,879","1,510,237","1,634,592","1,553,903"
Cape Lookout NS,"50,106","64,959","51,957","55,674"
Capitol Reef NP,"288,860","342,788","397,789","343,146"
Capulin Volcano NM,"44,297","45,687","46,200","45,395"
Carl Sandburg Home NHS,"34,062","37,160","44,059","38,427"
Carlsbad Caverns NP,"721,647","672,963","771,766","722,125"
Casa Grande Ruins NM,"112,482","109,202","102,768","108,151"
Castillo de San Marcos NM,"650,095","609,510","654,012","637,872"
Castle Clinton NM,"216,996","164,484","113,324","164,935"
Catoctin Mountain Park,"431,541","400,016","357,685","396,414"
Cedar Breaks NM,"362,178","404,423","402,680","389,760"
Chaco Culture NHP,"48,810","51,652","73,399","57,954"
Chamizal NMEM,"111,129","78,355","104,717","98,067"
Channel Islands NP,"82,937","104,574","87,514","91,675"
Chattahoochee River NRA,,"345,956","471,051","408,504"
Chesapeake & Ohio Canal NHP,"2,832,646","3,101,125","5,450,477","3,794,749"
Chickamauga & Chattanooga NMP,"866,933","1,145,070","755,259","922,421"
Chickasaw NRA,"1,434,484","1,927,044","1,697,658","1,686,395"
Chiricahua NM,"49,484","49,232","51,864","50,193"
Christiansted NHS,"90,790","104,458","57,098","84,115"
Clara Barton NHS,"7,520","7,204","11,289","8,671"
Colonial NHP,"7,172,127","6,338,912","8,558,803","7,356,614"
Colorado NM,"290,584","275,229","325,210","297,008"
Coronado NMEM,"59,751","42,648","46,681","49,693"
Cowpens NB,"78,441","85,766","64,614","76,274"
Crater Lake NP,"410,749","455,143","503,404","456,432"
Craters of the Moon NM & PRES,"220,698","162,454","236,525","206,559"
Cumberland Gap NHP,"452,889","485,666","425,046","454,534"
Cumberland Island NS,"35,811","34,682","37,530","36,008"
Curecanti NRA,"809,007","891,490","988,951","896,483"
Cuyahoga Valley NP,"543,025","563,300","596,300","567,542"
De Soto NMEM,"179,738","172,932","165,366","172,679"
Death Valley NP,"631,152","618,140","630,402","626,565"
Delaware Water Gap NRA,"2,002,543","2,470,965","2,396,100","2,289,869"
Denali NP & PRES,"251,105","216,361","256,593","241,353"
Devils Postpile NM,"81,323","79,130","86,084","82,179"
Devils Tower NM,"226,091","213,692","285,310","241,698"
Dinosaur NM,"295,837","332,781","345,784","324,801"
Dry Tortugas NP,"9,076","8,644","10,150","9,290"
Edgar Allan Poe NHS,,"2,549","14,055","8,302"
Effigy Mounds NM,"59,064","75,555","79,881","71,500"
Eisenhower NHS,,"164,443","182,387","173,415"
El Morro NM,"29,635","29,523","27,536","28,898"
Everglades NP,"718,102","744,244","564,721","675,689"
Federal Hall NMEM,"83,680","95,343","103,331","94,118"
Fire Island NS,"465,268","604,401","513,421","527,697"
Florissant Fossil Beds NM,"46,919","66,652","50,747","54,773"
Ford's Theatre NHS,"518,345","647,622","650,903","605,623"
Fort Bowie NHS,"5,827","5,103","5,153","5,361"
Fort Caroline NMEM,"169,209","128,619","110,844","136,224"
Fort Davis NHS,"72,465","63,465","71,179","69,036"
Fort Donelson NB,"317,415","343,964","336,538","332,639"
Fort Frederica NM,"392,405","298,718","247,469","312,864"
Fort Laramie NHS,"106,583","89,861","121,212","105,885"
Fort Larned NHS,"22,908","24,036","22,616","23,187"
Fort Matanzas NM,"251,507","254,243","270,207","258,652"
Fort McHenry NM & HS,"543,543","614,665","672,541","610,250"
Fort Necessity NB,"108,058","132,487","153,898","131,481"
Fort Point NHS,"872,177","792,694","1,073,265","912,712"
Fort Pulaski NM,"276,608","283,483","239,572","266,554"
Fort Raleigh NHS,"305,153","350,464","299,252","318,290"
Fort Scott NHS,"12,008","35,922","51,633","33,188"
Fort Smith NHS,"90,584","102,361","136,786","109,910"
Fort Stanwix NM,"68,288","64,975","60,696","64,653"
Fort Sumter and Fort Moultrie NHP,"185,582","183,416","206,547","191,848"
Fort Union NM,"10,435","10,787","11,720","10,981"
Fort Union Trading Post NHS,"6,368","8,520","9,139","8,009"
Fort Vancouver NHS,"156,749","162,142","231,224","183,372"
Fort Washington Park,"496,921","488,614","334,867","440,134"
Fossil Butte NM,"13,669","10,823","12,431","12,308"
Frederick Douglass NHS,"34,137","38,974","35,322","36,144"
Frederick Law Olmsted NHS,,,"1,882","1,882"
Fredericksburg & Spotsylvania NMP,"1,010,717","995,434","1,000,456","1,002,202"
Gateway Arch NP,"1,859,431","1,928,825","2,282,261","2,023,506"
Gateway NRA,"8,773,128","9,053,257","9,376,479","9,067,621"
General Grant NMEM,"35,117","35,941","41,052","37,370"
George Rogers Clark NHP,"78,748","80,568","94,993","84,770"
George Washington Birthplace NM,"122,579","114,147","133,291","123,339"
George Washington Carver NM,"49,112","59,428","55,150","54,563"
George Washington MEM PKWY,"4,677,978","6,266,121","8,555,905","6,500,001"
Gettysburg NMP,"994,035","1,096,364","1,239,647","1,110,015"
Gila Cliff Dwellings NM,"31,933","32,734","36,417","33,695"
Glacier Bay NP & PRES,"91,032","95,005","85,071","90,369"
Glacier NP,"1,446,086","1,474,578","1,786,523","1,569,062"
Glen Canyon NRA,"1,655,995","1,571,491","1,733,529","1,653,672"
Golden Gate NRA,"11,321,127","18,421,773","20,279,789","16,674,230"
Golden Spike NHP,"46,657","44,587","48,167","46,470"
Grand Canyon NP,"2,131,716","2,304,973","2,472,270","2,302,986"
Grand Portage NM,"36,931","43,229","41,404","40,521"
Grand Teton NP,"2,446,171","2,555,627","2,643,644","2,548,481"
Grant-Kohrs Ranch NHS,"21,325","19,449","23,559","21,444"
Great Basin NP,"29,947","33,383","33,367","32,232"
Great Sand Dunes NP & PRES,"162,546","142,427","172,505","159,159"
Great Smoky Mountains NP,"8,019,788","8,440,953","8,312,884","8,257,875"
Greenbelt Park,"250,595","283,365","231,632","255,197"
Guadalupe Mountains NP,"110,478","113,825","142,641","122,315"
Guilford Courthouse NMP,"161,485","156,754","220,944","179,728"
Gulf Islands NS,"2,965,041","2,507,507","3,316,477","2,929,675"
Haleakala NP,"673,955","560,238","631,684","621,959"
Hamilton Grange NMEM,371,0,0,124
Hampton NHS,"33,332","60,700","49,729","47,920"
Harpers Ferry NHP,"437,448","549,997","589,288","525,578"
Hawaii Volcanoes NP,"1,632,589","1,692,338","1,931,852","1,752,260"
Herbert Hoover NHS,"205,028","212,702","256,910","224,880"
Home of Franklin D. Roosevelt NHS,"266,809","316,535","272,129","285,158"
Homestead NHP,"18,084","16,278","16,421","16,928"
Hopewell Culture NHP,"51,514","57,151","59,737","56,134"
Hopewell Furnace NHS,"133,450","163,074","143,430","146,651"
Horseshoe Bend NMP,"50,566","44,323","78,388","57,759"
Hot Springs NP,"1,118,800","1,160,588","1,177,911","1,152,433"
Hovenweep NM,"14,815","13,591","13,628","14,011"
Hubbell Trading Post NHS,"36,344","106,358","164,551","102,418"
Independence NHP,"2,002,333","2,033,208","1,567,871","1,867,804"
Indiana Dunes NP,"1,606,166","1,222,874","1,023,436","1,284,159"
Isle Royale NP,"14,782","14,977","14,558","14,772"
Jean Lafitte NHP & PRES,"193,121","271,217","375,883","280,074"
Jewel Cave NM,"76,921","90,198","105,448","90,856"
"John D. Rockefeller, Jr. MEM PKWY","1,356,044","1,303,756","1,515,176","1,391,659"
John Day Fossil Beds NM,"90,547","101,167","111,410","101,041"
John F. Kennedy NHS,"19,308","17,299","17,757","18,121"
John Muir NHS,"24,911","27,449","27,070","26,477"
Johnstown Flood NMEM,"42,201","33,164","36,124","37,163"
Joshua Tree NP,"590,543","545,357","612,966","582,955"
Katmai NP & PRES,"10,659","11,824","13,115","11,866"
Kennesaw Mountain NBP,"876,352","934,778","1,009,433","940,188"
Kings Canyon NP,"804,175","819,065","776,850","800,030"
Kings Mountain NMP,"212,876","214,931","223,851","217,219"
Klondike Gold Rush NHP Seattle,"37,595","48,442","56,182","47,406"
Knife River Indian Villages NHS,,,"4,616","4,616"
Lake Mead NRA,"6,155,100","4,965,601","5,219,266","5,446,656"
Lake Meredith NRA,"1,849,425","1,570,790","1,559,283","1,659,833"
Lake Roosevelt NRA,"794,710","833,400","873,754","833,955"
Lassen Volcanic NP,"380,014","394,425","415,045","396,495"
Lava Beds NM,"96,565","87,993","87,038","90,532"
Lewis & Clark NHP,"93,453","101,060","130,765","108,426"
Lincoln Boyhood NMEM,"237,793","218,811","225,590","227,398"
Lincoln Home NHS,"403,236","408,434","402,686","404,785"
Lincoln Memorial,"3,352,343","3,307,585","2,989,487","3,216,472"
Little Bighorn Battlefield NM,"203,795","183,311","252,992","213,366"
Longfellow House Washington's HQ NHS,"17,739","18,819","19,541","18,700"
Lowell NHP,"92,839","274,149","321,762","229,583"
Lyndon B. Johnson NHP,"295,303","317,982","300,685","304,657"
Mammoth Cave NP,"1,384,910","1,495,787","1,404,317","1,428,338"
Manassas NBP,"778,444","797,913","792,371","789,576"
Mesa Verde NP,"473,715","539,257","588,608","533,860"
Minute Man NHP,"956,954","1,005,047","1,047,239","1,003,080"
Montezuma Castle NM,"382,085","413,885","472,306","422,759"
Moores Creek NB,"44,272","41,793","45,059","43,708"
Morristown NHP,"554,064","580,792","561,698","565,518"
Mount Rainier NP,"1,516,703","1,268,256","1,233,671","1,339,543"
Mount Rushmore NMEM,"1,245,425","1,284,888","1,604,991","1,378,435"
Muir Woods NM,"1,227,241","1,311,613","1,264,676","1,267,843"
Natchez Trace PKWY,"9,475,305","10,601,566","11,160,608","10,412,493"
Natural Bridges NM,"78,564","63,594","60,131","67,430"
Navajo NM,"41,341","39,886","39,574","40,267"
