Park Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Average
Abraham Lincoln Birthplace NHP,"250,772","211,650","201,828","190,809","200,054","202,950","200,404","221,111","177,122","163,568","169,515","163,928","241,264","148,605","252,495","269,580","260,964","238,226","228,141","251,188","212,209"
Acadia NP,"2,558,572","2,431,062","2,207,847","2,051,484","2,083,588","2,202,228","2,075,857","2,227,698","2,504,208","2,374,645","2,431,052","2,254,922","2,563,129","2,811,184","3,303,393","3,509,271","3,537,575","3,437,286","2,669,034","4,069,098","2,665,157"
Adams NHP,"173,944","215,659","239,504","220,467","225,318","224,880","241,536","253,656","73,339","219,975","336,031","285,501","178,468","183,632","199,301","255,562","121,007","187,400","6,937","20,679","193,140"
African Burial Ground NM,,,,,,,,,"117,113","108,585","77,624","93,234","54,861","56,348","46,526","43,182","45,035","47,427","7,908","9,167","58,918"
Agate Fossil Beds NM,"17,129","16,233","15,235","14,209","13,521","12,997","12,425","12,694","12,509","11,617","11,824","10,504","12,440","13,264","15,555","32,038","16,238","16,657","8,722","18,264","14,704"
Alagnak Wild River,,,,,,,,,,,,,,,,,,,,262,262
Alibates Flint Quarries NM,"2,125","1,811","2,012","2,919","1,882","4,028","2,297","2,918","4,350","3,214","3,383","1,555","4,513","9,492","8,153","6,613","7,415","8,847","4,269","9,526","4,566"
Allegheny Portage Railroad NHS,"146,484","129,995","126,441","115,357","121,009","123,215","113,991","118,931","107,363","118,410","138,864","107,977","172,883","168,433","189,371","201,837","189,047","189,189","136,029","187,919","145,137"
Amistad NRA,"1,047,784","1,071,199","1,445,772","1,399,852","1,599,271","1,734,200","1,980,717","2,573,966","1,574,322","1,436,759","1,367,502","1,025,151","1,130,096","1,250,051","1,164,530","1,221,635","1,111,770","1,267,900","1,424,139","1,091,897","1,395,926"
Andersonville NHS,"190,004","150,661","165,929","132,466","132,153","153,686","159,592","136,267","121,535","108,812","122,883","98,771","127,189","136,686","134,216","132,149","138,164","103,635","63,799","45,084","127,684"
Andrew Johnson NHS,"48,878","51,910","50,196","48,552","50,701","43,456","69,433","63,296","60,323","52,322","51,261","42,929","42,863","45,357","45,937","53,998","50,671","51,189","46,092","63,720","51,654"
