Annual Visitation Report by Years: 1978 to 1979,,,
,,,
,"This report will not correctly export to CSV. Please export to Excel, Word, or PDF if you wish to save this report.",,
,,,
,,Recreational Visits,
,Park Name,1979,Average
,Acadia NP,"2,787,366","2,787,366"
,Adams NHP,"34,322","34,322"
,Agate Fossil Beds NM,"8,115","8,115"
,Alibates Flint Quarries NM,"1,922","1,922"
,Allegheny Portage Railroad NHS,"58,225","58,225"
,Amistad NRA,"1,261,846","1,261,846"
,Andersonville NHS,"151,123","151,123"
,Andrew Johnson NHS,"47,674","47,674"
,Antietam NB,"319,610","319,610"
,Apostle Islands NL,"75,629","75,629"
,Appomattox Court House NHP,"208,411","208,411"
,Arches NP,"269,840","269,840"
,Arkansas Post NMEM,"61,507","61,507"
,Arlington House The R.E. Lee MEM,"459,346","459,346"
,Assateague Island NS,"1,674,861","1,674,861"
,Aztec Ruins NM,"58,064","58,064"
,Badlands NP,"858,000","858,000"
,Bandelier NM,"161,336","161,336"
,Bent's Old Fort NHS,"94,653","94,653"
,Big Bend NP,"282,941","282,941"
,Big Hole NB,"41,186","41,186"
,Bighorn Canyon NRA,"297,152","297,152"
,Biscayne NP,"202,938","202,938"
,Black Canyon of the Gunnison NP,"234,286","234,286"
,Blue Ridge PKWY,"11,700,219","11,700,219"
,Booker T. Washington NM,"25,507","25,507"
,Boston NHP,"1,777,391","1,777,391"
,Bryce Canyon NP,"558,095","558,095"
,Buck Island Reef NM,"82,390","82,390"
,Buffalo NR,"675,832","675,832"
,Cabrillo NM,"1,196,447","1,196,447"
,Canaveral NS,"859,943","859,943"
,Canyon de Chelly NM,"328,097","328,097"
,Canyonlands NP,"74,545","74,545"
,Cape Cod NS,"3,921,968","3,921,968"
,Cape Hatteras NS,"1,516,879","1,516,879"
,Cape Lookout NS,"50,106","50,106"
,Capitol Reef NP,"288,860","288,860"
,Capulin Volcano NM,"44,297","44,297"
,Carl Sandburg Home NHS,"34,062","34,062"
,Carlsbad Caverns NP,"721,647","721,647"
,Casa Grande Ruins NM,"112,482","112,482"
,Castillo de San Marcos NM,"650,095","650,095"
,Castle Clinton NM,"216,996","216,996"
,Catoctin Mountain Park,"431,541","431,541"
,Cedar Breaks NM,"362,178","362,178"
,Chaco Culture NHP,"48,810","48,810"
,Chamizal NMEM,"111,129","111,129"
,Channel Islands NP,"82,937","82,937"
,Chesapeake & Ohio Canal NHP,"2,832,646","2,832,646"
,Chickamauga & Chattanooga NMP,"866,933","866,933"
,Chickasaw NRA,"1,434,484","1,434,484"
,Chiricahua NM,"49,484","49,484"
,Christiansted NHS,"90,790","90,790"
,Clara Barton NHS,"7,520","7,520"
,Colonial NHP,"7,172,127","7,172,127"
,Colorado NM,"290,584","290,584"
,Coronado NMEM,"59,751","59,751"
,Cowpens NB,"78,441","78,441"
,Crater Lake NP,"410,749","410,749"
